,x,y,theta,eFL,eFR,eRR,eRL,timestamp
2920,0.5556095242500305,-1.9541929960250854,0.992405891418457,21085.0,16277.0,18055.0,19304.0,1649348709.647424
2921,0.5495566725730896,-1.9554741382598877,0.9928654432296753,21087.0,16279.0,18057.0,19306.0,1649348709.6679907
2922,0.5469802618026733,-1.9558173418045044,0.9906337857246399,21089.0,16281.0,18059.0,19308.0,1649348709.689114
2923,0.5441892743110657,-1.9564282894134521,0.9919622540473938,21091.0,16283.0,18061.0,19310.0,1649348709.7094226
2924,0.541140615940094,-1.9582663774490356,0.990716278553009,21092.0,16285.0,18063.0,19312.0,1649348709.7295825
2925,0.5366648435592651,-1.958659291267395,0.993392825126648,21095.0,16287.0,18065.0,19314.0,1649348709.7498405
2926,0.5335369110107422,-1.9599956274032593,0.9931758642196655,21096.0,16289.0,18067.0,19316.0,1649348709.7704725
2927,0.5249037742614746,-1.9607067108154297,0.9936680793762207,21098.0,16291.0,18069.0,19318.0,1649348709.7913857
2928,0.5223471522331238,-1.9621644020080566,0.9923181533813477,21100.0,16293.0,18070.0,19319.0,1649348709.8114326
2929,0.5186066031455994,-1.9641120433807373,0.9933153390884399,21102.0,16295.0,18072.0,19321.0,1649348709.8322937
2930,0.5149247646331787,-1.9642263650894165,0.9870391488075256,21104.0,16296.0,18074.0,19323.0,1649348709.853405
2931,0.5102982521057129,-1.9645919799804688,0.9896565675735474,21106.0,16298.0,18076.0,19325.0,1649348709.8733766
2932,0.5062347054481506,-1.9666163921356201,0.9914809465408325,21108.0,16300.0,18078.0,19327.0,1649348709.893994
2933,0.5015642642974854,-1.967850685119629,0.9890633225440979,21109.0,16302.0,18080.0,19329.0,1649348709.9147134
2934,0.5015642046928406,-1.967850685119629,0.9890633225440979,21111.0,16304.0,18082.0,19330.0,1649348709.934565
2935,0.49342745542526245,-1.9694132804870605,0.9910557866096497,21113.0,16306.0,18084.0,19332.0,1649348709.95545
2936,0.4927572011947632,-1.9674530029296875,0.99185711145401,21115.0,16307.0,18086.0,19334.0,1649348709.9756446
2937,0.4865950047969818,-1.970912218093872,0.9917544722557068,21117.0,16309.0,18088.0,19336.0,1649348709.9968567
2938,0.4825364053249359,-1.972698450088501,0.9878097176551819,21119.0,16311.0,18089.0,19338.0,1649348710.0166242
2939,0.4803055226802826,-1.9718599319458008,0.9917629957199097,21121.0,16313.0,18091.0,19340.0,1649348710.037371
2940,0.47070279717445374,-1.9753698110580444,0.9918613433837891,21123.0,16315.0,18093.0,19342.0,1649348710.0576708
2941,0.4665529131889343,-1.976513147354126,0.9952106475830078,21125.0,16317.0,18095.0,19344.0,1649348710.077753
2942,0.46549272537231445,-1.9754184484481812,0.9913653135299683,21127.0,16319.0,18097.0,19346.0,1649348710.0991685
2943,0.4570219814777374,-1.9781651496887207,0.990944504737854,21129.0,16321.0,18099.0,19348.0,1649348710.11982
2944,0.4526240825653076,-1.9787424802780151,0.9874926805496216,21131.0,16323.0,18101.0,19350.0,1649348710.1398373
2945,0.45070335268974304,-1.9796139001846313,0.9923216700553894,21132.0,16325.0,18103.0,19352.0,1649348710.1608677
2946,0.4449727237224579,-1.981566309928894,0.9914894104003906,21134.0,16327.0,18105.0,19354.0,1649348710.181276
2947,0.44105595350265503,-1.9825519323349,0.991621732711792,21136.0,16329.0,18107.0,19356.0,1649348710.2013357
2948,0.4379414916038513,-1.9830822944641113,0.9916687607765198,21138.0,16331.0,18109.0,19358.0,1649348710.2219493
2949,0.4372998774051666,-1.982545256614685,0.993320882320404,21140.0,16332.0,18111.0,19360.0,1649348710.2425923
2950,0.4264993667602539,-1.984917163848877,0.9917382597923279,21142.0,16334.0,18112.0,19361.0,1649348710.2635012
2951,0.4253632128238678,-1.9855782985687256,0.9933735728263855,21144.0,16336.0,18114.0,19364.0,1649348710.2835748
2952,0.4184688925743103,-1.9873027801513672,0.9914538860321045,21146.0,16338.0,18116.0,19365.0,1649348710.3041527
2953,0.41581231355667114,-1.9879347085952759,0.9908661842346191,21147.0,16340.0,18118.0,19367.0,1649348710.3246412
2954,0.4121880531311035,-1.9888683557510376,0.9927477836608887,21149.0,16342.0,18120.0,19369.0,1649348710.3451705
2955,0.40814948081970215,-1.9889588356018066,0.9854613542556763,21151.0,16343.0,18122.0,19371.0,1649348710.3656933
2956,0.4011354148387909,-1.9913744926452637,0.9909682869911194,21153.0,16345.0,18124.0,19373.0,1649348710.386225
2957,0.40022188425064087,-1.9925721883773804,0.9925925135612488,21155.0,16347.0,18126.0,19375.0,1649348710.4068062
2958,0.397597998380661,-1.992621898651123,0.9930580258369446,21157.0,16349.0,18128.0,19377.0,1649348710.4275823
2959,0.397597998380661,-1.992621898651123,0.9930580258369446,21159.0,16351.0,18130.0,19379.0,1649348710.4481947
2960,0.39268091320991516,-1.994648814201355,0.9931675791740417,21161.0,16353.0,18132.0,19381.0,1649348710.4689755
